,WALCL,RRP,TGA,BTC,OIL,DXY,GOLD,HYG,SPY,MOVE,US10Y,VIX
2025-01-16,6834070.0,94.489,641225.0,99756.90625,78.68000030517578,108.95999908447266,2746.39990234375,79.38999938964844,591.6400146484375,92.72000122070312,4.605999946594238,16.600000381469727
2025-01-17,6834070.0,118.327,641225.0,104462.0390625,77.87999725341797,109.3499984741211,2744.300048828125,79.45999908447266,597.5800170898438,95.5999984741211,4.609000205993652,15.970000267028809
2025-01-18,6834070.0,118.327,641225.0,104408.0703125,77.87999725341797,109.3499984741211,2744.300048828125,79.45999908447266,597.5800170898438,95.5999984741211,4.609000205993652,15.970000267028809
2025-01-19,6834070.0,118.327,641225.0,101089.609375,77.87999725341797,109.3499984741211,2744.300048828125,79.45999908447266,597.5800170898438,95.5999984741211,4.609000205993652,15.970000267028809
2025-01-20,6834070.0,118.327,641225.0,102016.6640625,77.87999725341797,109.3499984741211,2744.300048828125,79.45999908447266,597.5800170898438,95.5999984741211,4.609000205993652,15.970000267028809
2025-01-21,6834070.0,96.015,641225.0,106146.265625,75.88999938964844,108.05999755859375,2755.0,79.66999816894531,603.0499877929688,96.77999877929688,4.573999881744385,15.0600004196167
2025-01-22,6831760.0,123.981,677282.0,103653.0703125,75.44000244140625,108.16999816894531,2767.60009765625,79.55999755859375,606.4400024414062,89.9000015258789,4.598999977111816,15.100000381469727
2025-01-23,6831760.0,132.031,677282.0,103960.171875,74.62000274658203,108.05000305175781,2763.10009765625,79.66000366210938,609.75,88.51000213623047,4.638000011444092,15.020000457763672
2025-01-24,6831760.0,104.972,677282.0,104819.484375,74.66000366210938,107.44000244140625,2777.300048828125,79.75,607.969970703125,86.75,4.625999927520752,14.850000381469727
2025-01-25,6831760.0,104.972,677282.0,104714.6484375,74.66000366210938,107.44000244140625,2777.300048828125,79.75,607.969970703125,86.75,4.625999927520752,14.850000381469727
2025-01-26,6831760.0,104.972,677282.0,102682.5,74.66000366210938,107.44000244140625,2777.300048828125,79.75,607.969970703125,86.75,4.625999927520752,14.850000381469727
2025-01-27,6831760.0,92.863,677282.0,102087.6875,73.16999816894531,107.33999633789062,2737.5,79.80999755859375,599.3699951171875,95.05000305175781,4.5279998779296875,17.899999618530273
2025-01-28,6831760.0,112.76,677282.0,101332.4765625,73.7699966430664,107.87000274658203,2766.800048828125,79.77999877929688,604.52001953125,92.83000183105469,4.551000118255615,16.40999984741211
2025-01-29,6818186.0,121.842,784206.0,103703.2109375,72.62000274658203,108.0,2769.10009765625,79.7300033569336,601.8099975585938,90.7300033569336,4.554999828338623,16.559999465942383
2025-01-30,6818186.0,125.965,784206.0,104735.3046875,72.7300033569336,107.80000305175781,2823.0,79.87999725341797,605.0399780273438,90.54000091552734,4.51200008392334,15.84000015258789
2025-01-31,6818186.0,187.913,784206.0,102405.0234375,72.52999877929688,108.37000274658203,2812.5,79.72000122070312,601.8200073242188,91.76000213623047,4.568999767303467,16.43000030517578
2025-02-01,6818186.0,187.913,784206.0,100655.90625,72.52999877929688,108.37000274658203,2812.5,79.72000122070312,601.8200073242188,91.76000213623047,4.568999767303467,16.43000030517578
2025-02-02,6818186.0,187.913,784206.0,97688.9765625,72.52999877929688,108.37000274658203,2812.5,79.72000122070312,601.8200073242188,91.76000213623047,4.568999767303467,16.43000030517578
2025-02-03,6818186.0,97.781,784206.0,101405.421875,73.16000366210938,108.98999786376953,2833.89990234375,79.26000213623047,597.77001953125,94.1500015258789,4.543000221252441,18.6200008392334
2025-02-04,6818186.0,85.654,784206.0,97871.8203125,72.69999694824219,107.95999908447266,2853.300048828125,79.51000213623047,601.780029296875,90.27999877929688,4.513000011444092,17.209999084472656
2025-02-05,6810935.0,78.788,805593.0,96615.4453125,71.02999877929688,107.58000183105469,2871.60009765625,79.72000122070312,604.219970703125,94.68000030517578,4.421999931335449,15.770000457763672
2025-02-06,6810935.0,79.983,805593.0,96593.296875,70.61000061035156,107.69000244140625,2856.0,79.5999984741211,606.3200073242188,93.9000015258789,4.440000057220459,15.5
2025-02-07,6810935.0,95.248,805593.0,96529.0859375,71.0,108.04000091552734,2867.300048828125,79.3499984741211,600.77001953125,93.12999725341797,4.486999988555908,16.540000915527344
2025-02-08,6810935.0,95.248,805593.0,96482.453125,71.0,108.04000091552734,2867.300048828125,79.3499984741211,600.77001953125,93.12999725341797,4.486999988555908,16.540000915527344
2025-02-09,6810935.0,95.248,805593.0,96500.09375,71.0,108.04000091552734,2867.300048828125,79.3499984741211,600.77001953125,93.12999725341797,4.486999988555908,16.540000915527344
2025-02-10,6810935.0,99.653,805593.0,97437.5546875,72.31999969482422,108.31999969482422,2914.300048828125,79.51000213623047,604.8499755859375,87.68000030517578,4.493000030517578,15.8100004196167
2025-02-11,6810935.0,76.446,805593.0,95747.4296875,73.31999969482422,107.95999908447266,2912.5,79.4800033569336,605.3099975585938,85.58000183105469,4.5370001792907715,16.020000457763672
2025-02-12,6813513.0,67.67,828102.0,97885.859375,71.37000274658203,107.94000244140625,2909.0,79.30999755859375,603.3599853515625,86.58000183105469,4.63700008392334,15.890000343322754
2025-02-13,6813513.0,67.82,828102.0,96623.8671875,71.29000091552734,107.30999755859375,2925.89990234375,79.66999816894531,609.72998046875,84.56999969482422,4.525000095367432,15.100000381469727
2025-02-14,6813513.0,58.77,828102.0,97508.96875,70.73999786376953,106.56999969482422,2883.60009765625,79.76000213623047,609.7000122070312,84.66999816894531,4.4720001220703125,14.770000457763672
2025-02-15,6813513.0,58.77,828102.0,97580.3515625,70.73999786376953,106.56999969482422,2883.60009765625,79.76000213623047,609.7000122070312,84.66999816894531,4.4720001220703125,14.770000457763672
2025-02-16,6813513.0,58.77,828102.0,96175.03125,70.73999786376953,106.56999969482422,2883.60009765625,79.76000213623047,609.7000122070312,84.66999816894531,4.4720001220703125,14.770000457763672
2025-02-17,6813513.0,58.77,828102.0,95773.3828125,70.73999786376953,106.56999969482422,2883.60009765625,79.76000213623047,609.7000122070312,84.66999816894531,4.4720001220703125,14.770000457763672
2025-02-18,6813513.0,77.817,828102.0,95539.546875,71.8499984741211,107.05000305175781,2931.60009765625,79.69000244140625,611.489990234375,84.51000213623047,4.544000148773193,15.350000381469727
2025-02-19,6782332.0,73.196,790062.0,96635.609375,72.25,107.16999816894531,2919.39990234375,79.75,612.9299926757812,83.86000061035156,4.534999847412109,15.270000457763672
2025-02-20,6782332.0,63.207,790062.0,98333.9375,72.56999969482422,106.33999633789062,2940.0,79.80000305175781,610.3800048828125,86.26000213623047,4.5,15.65999984741211
2025-02-21,6782332.0,68.983,790062.0,96125.546875,70.4000015258789,106.61000061035156,2937.60009765625,79.6500015258789,599.9400024414062,91.83000183105469,4.420000076293945,18.209999084472656
2025-02-22,6782332.0,68.983,790062.0,96577.7578125,70.4000015258789,106.61000061035156,2937.60009765625,79.6500015258789,599.9400024414062,91.83000183105469,4.420000076293945,18.209999084472656
2025-02-23,6782332.0,68.983,790062.0,96273.921875,70.4000015258789,106.61000061035156,2937.60009765625,79.6500015258789,599.9400024414062,91.83000183105469,4.420000076293945,18.209999084472656
2025-02-24,6782332.0,76.818,790062.0,91418.171875,70.69999694824219,106.5999984741211,2947.89990234375,79.75,597.2100219726562,88.44000244140625,4.39300012588501,18.979999542236328
2025-02-25,6782332.0,96.0,790062.0,88736.171875,68.93000030517578,106.30999755859375,2904.5,79.94999694824219,594.239990234375,96.61000061035156,4.297999858856201,19.43000030517578
2025-02-26,6766101.0,126.058,681161.0,84347.0234375,68.62000274658203,106.41999816894531,2916.800048828125,80.05999755859375,594.5399780273438,97.5199966430664,4.249000072479248,19.100000381469727
2025-02-27,6766101.0,182.148,681161.0,84704.2265625,70.3499984741211,107.23999786376953,2883.199951171875,79.91000366210938,585.0499877929688,96.2699966430664,4.284999847412109,21.1299991607666
2025-02-28,6766101.0,234.422,681161.0,84373.0078125,69.76000213623047,107.61000061035156,2836.800048828125,80.12999725341797,594.1799926757812,104.45999908447266,4.230999946594238,19.6299991607666
2025-03-01,6766101.0,234.422,681161.0,86031.9140625,69.76000213623047,107.61000061035156,2836.800048828125,80.12999725341797,594.1799926757812,104.45999908447266,4.230999946594238,19.6299991607666
2025-03-02,6766101.0,234.422,681161.0,94248.3515625,69.76000213623047,107.61000061035156,2836.800048828125,80.12999725341797,594.1799926757812,104.45999908447266,4.230999946594238,19.6299991607666
2025-03-03,6766101.0,119.987,681161.0,86065.671875,68.37000274658203,106.75,2890.199951171875,79.58999633789062,583.77001953125,105.6500015258789,4.179999828338623,22.780000686645508
2025-03-04,6766101.0,135.257,681161.0,87222.1953125,68.26000213623047,105.73999786376953,2909.60009765625,79.58000183105469,576.8599853515625,108.87000274658203,4.210000038146973,23.510000228881836
2025-03-05,6756764.0,139.493,548331.0,90623.5625,66.30999755859375,105.73999786376953,2915.300048828125,79.62000274658203,583.0599975585938,104.31999969482422,4.264999866485596,21.93000030517578
2025-03-06,6756764.0,129.269,548331.0,89961.7265625,66.36000061035156,104.05999755859375,2916.60009765625,79.31999969482422,572.7100219726562,108.94999694824219,4.285999774932861,24.8700008392334
2025-03-07,6756764.0,136.305,548331.0,86742.671875,67.04000091552734,103.83999633789062,2904.699951171875,79.44999694824219,575.9199829101562,104.41000366210938,4.316999912261963,23.3700008392334
2025-03-08,6756764.0,136.305,548331.0,86154.59375,67.04000091552734,103.83999633789062,2904.699951171875,79.44999694824219,575.9199829101562,104.41000366210938,4.316999912261963,23.3700008392334
2025-03-09,6756764.0,136.305,548331.0,80601.0390625,67.04000091552734,103.83999633789062,2904.699951171875,79.44999694824219,575.9199829101562,104.41000366210938,4.316999912261963,23.3700008392334
2025-03-10,6756764.0,129.054,548331.0,78532.0,66.02999877929688,103.91000366210938,2891.0,79.1500015258789,560.5800170898438,112.5,4.2129998207092285,27.860000610351562
2025-03-11,6756764.0,137.31,548331.0,82862.2109375,66.25,103.44000244140625,2912.89990234375,78.87000274658203,555.9199829101562,114.5999984741211,4.288000106811523,26.920000076293945
2025-03-12,6759571.0,131.055,512581.0,83722.359375,67.68000030517578,103.61000061035156,2939.10009765625,78.95999908447266,558.8699951171875,104.11000061035156,4.317999839782715,24.229999542236328
2025-03-13,6759571.0,113.435,512581.0,81066.703125,66.55000305175781,103.83000183105469,2984.300048828125,78.5199966430664,551.4199829101562,106.19000244140625,4.27400016784668,24.65999984741211
2025-03-14,6759571.0,126.234,512581.0,83969.1015625,67.18000030517578,103.72000122070312,2994.5,78.87999725341797,562.8099975585938,101.01000213623047,4.308000087738037,21.770000457763672
2025-03-15,6759571.0,126.234,512581.0,84343.109375,67.18000030517578,103.72000122070312,2994.5,78.87999725341797,562.8099975585938,101.01000213623047,4.308000087738037,21.770000457763672
